classtype,flagno,storeno,storename,undertaker,storeaddr,contacttel,taxno
1,8903,K000278,永宏機車行,吳煥榮,351苗栗縣頭份市新華里12鄰中正一路74號,037-687549,
1,8903,K000275,楓城機車行,林慶城,356苗栗縣後龍鎮北龍里1鄰中華路60-16號,037-722660,
1,8903,K000273,明輪機車行,楊珠蓮,356苗栗縣後龍鎮大庄里14鄰成功路116號,037-727543,
1,8903,K000272,明村機車行,羅明村,358苗栗縣苑裡鎮苑南里2鄰建國路5號1樓,037-865530,
1,8903,K000270,鴻億輪業行,張淑姿,357苗栗縣通霄鎮通西里30鄰信義路61號,037-754889,
1,8903,D000335,SYM_家偉車業,吳家偉,708臺南市安平區建平七街197號,06-2934453,
1,8903,C000172,新宏富車業有限公司,林宏波,201基隆市信義區東信路150號,02-24654037,
1,8902,N000434,新發順機車行,陳条修,528彰化縣芳苑鄉王功村芳漢路王功段506號,04-8932283,
1,8902,N000433,新永順機車行,陳英斌,528彰化縣芳苑鄉建平村二溪路草二段612號,04-8862368,
1,8902,N000431,吉益機車行,陳淑玲,516彰化縣埔鹽鄉角樹村員鹿路一段139-1號,04-8852920,
1,8902,N000428,昌益機車行,蔡文燦,523彰化縣埤頭鄉合興村彰水路三段439號；443巷4號,04-8922098,
1,8902,N000374,信源車業有限公司,陳國仁,520彰化縣田中鎮員集路一段915號,04-8742658,
1,8902,K000286,信達機車行,鍾少賢,364苗栗縣大湖鄉大湖村1鄰中山路72號,037-995220,
1,8902,K000284,宏輪機車行,陳永德,364苗栗縣大湖鄉明湖村6鄰中原路24號,037-991526,
1,8902,K000280,金泰機車行,黃文星,351苗栗縣頭份市新華里中正一路11鄰28號,037-675959,
1,8902,K000279,全輪機車行,傅阿蘭,352苗栗縣三灣鄉三灣村中正路198號,037-831038,
1,8902,K000276,增興機車行,張文宗,350苗栗縣竹南鎮竹南里7鄰光復路80號,037-475666,
1,8902,C000150,昌億機車行,吳金波,204基隆市安樂區安一路207號,02-24237417,
1,8822,C000138,杰奇機車行,林文奇,205基隆市暖暖區八西里過港路252號1樓,02-24560719,
1,8821,K000254,欣原合機車行,朱吉章,350苗栗縣竹南鎮大營路236號,037-466834,
1,8821,K000253,百發車行,劉炎道,360苗栗縣苗栗市青苗里中山路586號,037-350888,
1,8821,K000243,久順機車有限公司,林煥雄,351苗栗縣頭份市雙十街27號,037-663293,
1,8821,K000240,進誠車業股份有限公司,曾國森,363苗栗縣公館鄉館中村近光路95-1號,037-222757,
1,8821,K000238,昌泰機車行,羅春瑛,360苗栗縣苗栗市福星里嘉福街25號,037-262091,
1,8821,H001356,冠億車業,羅振嘉,324桃園市平鎮區金陵路312號1樓,4683811,
1,8819,N000347,宏隆機車行,梁朝期,526彰化縣二林鎮新生路９４號,04-8960611,
1,8819,K000268,德山車行,郭銘忠,358苗栗縣苑裡鎮中正里10鄰43號,037-865811,
1,8819,K000242,益來機車行,黃運來,350苗栗縣竹南鎮龍鳳里建國路440號,037-471610,
